#X,Acoustic Pressure across Frequency(2)_At Node 632
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
601.000000,2.513603E-05
602.000000,2.525826E-05
603.000000,2.538194E-05
604.000000,2.550708E-05
605.000000,2.563371E-05
606.000000,2.576185E-05
607.000000,2.589152E-05
608.000000,2.602276E-05
609.000000,2.615557E-05
610.000000,2.629000E-05
611.000000,2.642606E-05
612.000000,2.656378E-05
613.000000,2.670319E-05
614.000000,2.684432E-05
615.000000,2.698719E-05
616.000000,2.713183E-05
617.000000,2.727827E-05
618.000000,2.742655E-05
619.000000,2.757669E-05
620.000000,2.772873E-05
621.000000,2.788269E-05
622.000000,2.803862E-05
623.000000,2.819653E-05
624.000000,2.835648E-05
625.000000,2.851850E-05
626.000000,2.868261E-05
627.000000,2.884886E-05
628.000000,2.901729E-05
629.000000,2.918793E-05
630.000000,2.936082E-05
631.000000,2.953602E-05
632.000000,2.971355E-05
633.000000,2.989346E-05
634.000000,3.007579E-05
635.000000,3.026060E-05
636.000000,3.044792E-05
637.000000,3.063780E-05
638.000000,3.083030E-05
639.000000,3.102546E-05
640.000000,3.122333E-05
641.000000,3.142396E-05
642.000000,3.162742E-05
643.000000,3.183374E-05
644.000000,3.204301E-05
645.000000,3.225526E-05
646.000000,3.247055E-05
647.000000,3.268896E-05
648.000000,3.291055E-05
649.000000,3.313537E-05
650.000000,3.336349E-05
651.000000,3.359499E-05
652.000000,3.382993E-05
653.000000,3.406840E-05
654.000000,3.431044E-05
655.000000,3.455616E-05
656.000000,3.480561E-05
657.000000,3.505890E-05
658.000000,3.531609E-05
659.000000,3.557728E-05
660.000000,3.584255E-05
661.000000,3.611200E-05
662.000000,3.638571E-05
663.000000,3.666379E-05
664.000000,3.694632E-05
665.000000,3.723343E-05
666.000000,3.752520E-05
667.000000,3.782175E-05
668.000000,3.812319E-05
669.000000,3.842963E-05
670.000000,3.874121E-05
671.000000,3.905803E-05
672.000000,3.938022E-05
673.000000,3.970793E-05
674.000000,4.004127E-05
675.000000,4.038040E-05
676.000000,4.072545E-05
677.000000,4.107658E-05
678.000000,4.143394E-05
679.000000,4.179769E-05
680.000000,4.216799E-05
681.000000,4.254502E-05
682.000000,4.292895E-05
683.000000,4.331997E-05
684.000000,4.371826E-05
685.000000,4.412402E-05
686.000000,4.453746E-05
687.000000,4.495878E-05
688.000000,4.538821E-05
689.000000,4.582597E-05
690.000000,4.627230E-05
691.000000,4.672743E-05
692.000000,4.719163E-05
693.000000,4.766516E-05
694.000000,4.814829E-05
695.000000,4.864131E-05
696.000000,4.914451E-05
697.000000,4.965820E-05
698.000000,5.018269E-05
699.000000,5.071833E-05
700.000000,5.126545E-05
701.000000,5.182443E-05
702.000000,5.239563E-05
703.000000,5.297945E-05
704.000000,5.357630E-05
705.000000,5.418661E-05
706.000000,5.481081E-05
707.000000,5.544939E-05
708.000000,5.610281E-05
709.000000,5.677160E-05
710.000000,5.745628E-05
711.000000,5.815742E-05
712.000000,5.887559E-05
713.000000,5.961140E-05
714.000000,6.036550E-05
715.000000,6.113856E-05
716.000000,6.193127E-05
717.000000,6.274439E-05
718.000000,6.357868E-05
719.000000,6.443496E-05
720.000000,6.531410E-05
721.000000,6.621700E-05
722.000000,6.714459E-05
723.000000,6.809789E-05
724.000000,6.907795E-05
725.000000,7.008589E-05
726.000000,7.112288E-05
727.000000,7.219017E-05
728.000000,7.328908E-05
729.000000,7.442098E-05
730.000000,7.558736E-05
731.000000,7.678979E-05
732.000000,7.802989E-05
733.000000,7.930946E-05
734.000000,8.063034E-05
735.000000,8.199453E-05
736.000000,8.340414E-05
737.000000,8.486143E-05
738.000000,8.636878E-05
739.000000,8.792877E-05
740.000000,8.954413E-05
741.000000,9.121779E-05
742.000000,9.295289E-05
743.000000,9.475280E-05
744.000000,9.662112E-05
745.000000,9.856174E-05
746.000000,1.005788E-04
747.000000,1.026768E-04
748.000000,1.048606E-04
749.000000,1.071355E-04
750.000000,1.095070E-04
751.000000,1.119813E-04
752.000000,1.145650E-04
753.000000,1.172654E-04
754.000000,1.200903E-04
755.000000,1.230482E-04
756.000000,1.261485E-04
757.000000,1.294013E-04
758.000000,1.328177E-04
759.000000,1.364101E-04
760.000000,1.401917E-04
761.000000,1.441775E-04
762.000000,1.483836E-04
763.000000,1.528280E-04
764.000000,1.575306E-04
765.000000,1.625136E-04
766.000000,1.678013E-04
767.000000,1.734210E-04
